aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
590444,na,0,na,0,0,0,0,0,7010,773788,8481678,22931480,7303726,107950,0,20237306,65714,0,0,10038,21302,33591636,28409476,9150186,4488450,0,0,0,0,0,0,0,562,26574,28356,64138,767336,12403496,13173520,13141646,0,94928,121420,287334,388878,7652670,30791716,268622,50,6,4,16560318,5398126,3324420,2353502,2306162,4835738,4683216,144144,0,0,42758464,0,3310,2040,2332,20237306,644490,4885012,4174696,284480,216940,254620,190960,267600,169320,218280,194220,103460,590444.51,42758464,42758464,42286928,247806,3127698,108894,335120,39605646,1209600,0,na,na,na,34008962.88,0,5563301.76,0,0,0,0,88232,3056966,14388578,18423134,3372552,228672,45886,1608,na,0,42758464,na,29010,6182,1782572,3117638,2956826,28216568,3465014,31796,20,0,na,na,na,na,na,na,na,na,na,14456,776,0,0,0,0,0,0,0,0,377748,298356,53892,0,0,794332,123270,24931580,4697512,0,0,0,0,274606010,13748.24,15500,5844974,7512636,5177836,2567578,5234638,4877190,3544400,1805986,2901856,138534,0,0
1229076,na,1358,na,0,0,0,0,28338,1871100,8814556,8122462,2357844,80406,0,0,37517676,6210,1516,na,4586886,6777052,68030900,60219012,23073302,9657922,6,0,0,0,4518,1292,0,0,0,0,0,0,13048,5783074,15478584,0,193192,35732,31938,92516,20759944,161376,8,0,0,0,5963626,6741058,2824978,1887740,1136452,885028,1358382,475662,1780,0,95714376,2316,5226,5532,0,37517676,1335114,6269936,16768866,255660,285660,240400,248820,251380,287060,278880,268080,221920,1229075.42,95714376,95714376,22326852,106899,480350,na,1140840,21274706,1209600,0,na,na,na,69677277.12,0,21491556.48,3422,9620,54,329254,4546692,9044642,5228000,1841696,229650,48622,6096,0,na,0,95714376,na,22514,7246,1856696,3451272,1592018,13489694,844094,11172,0,0,na,na,na,na,na,na,na,na,na,64618,2164,0,0,0,0,0,0,0,0,828900,50006,19996,0,0,627910,105408,20922440,2577446,0,0,0,0,127581630,14754.16,12608,5105180,3330102,1451244,571890,1592832,8443466,595324,137268,47366,34,0,0
189342,0,2902,na,0,0,0,29190,421322,2766290,4166820,3406008,840692,82726,4174,0,4722588,0,0,0,1512618,1983602,8722848,9111382,1835716,774364,0,0,0,0,8828,2552,0,0,0,0,0,0,0,1948958,9768264,0,15448,6610,8442,9474,17652,7785276,1561932,2312384,4,0,3450318,2673018,1674150,975124,663572,465834,346190,316862,181896,970258,12074006,9588,13454,4024,0,4722588,146508,635278,1196834,168740,160580,190000,193700,178480,214440,149800,170700,197520,189342.35,12074006,12074006,11961876,71702,11026,105068,1164840,11735412,1209600,0,na,na,na,10306516.8,0,1413129.6,86,1566,172976,475800,1025960,1385928,2298486,2178108,2197616,1547342,383900,51106,na,0,12074006,0,15846,2430,943462,628190,430938,7632144,1999030,64988,194,0,na,na,na,na,na,na,na,na,na,12412,700,0,0,0,0,0,0,0,0,100322,63752,18248,16821056,2726716,480500,71998,19662400,2170452,607268,162306,0,0,6270570,na,4860,1469598,1877694,1267074,510930,1096130,1691060,2906218,844034,54484,0,0,0
391232,na,0,na,0,0,0,0,0,16060,1440448,11296076,12653830,1600216,7044,0,13114812,3352,0,0,16656,34216,23550804,20207260,5428178,2648072,0,0,0,0,0,0,0,0,0,0,0,1445866,13494078,8178814,3894916,0,31272,22794,33422,68566,5020996,21767214,69364,36,10,0,10976996,3465788,1908896,1785732,2038234,2453886,2974082,1397032,13028,0,29002938,1252,2246,1554,3874,13114812,391412,2865512,2534932,207420,197160,198100,227920,238560,214740,203540,196980,195840,391231.11,29002938,29002938,28474512,176951,2526204,61804,1097360,27013674,1209600,0,na,na,na,24243192,0,2735322.24,0,0,0,0,326714,5806278,13394866,6674342,685104,107684,18238,448,na,0,29002938,na,27902,6490,1287182,1097726,2609064,20919946,1042094,23270,0,0,na,na,na,na,na,na,na,na,na,24372,1232,0,0,0,0,0,0,0,0,231968,469848,89978,0,0,1208602,154900,49432920,5865746,0,0,0,0,201098730,14322.08,16316,2922640,5570832,5101874,2581406,4567980,3368454,1950574,704330,245478,106,0,0
1371632,na,na,na,na,na,0,86114,1598732,18412354,43533168,38614924,18941596,4051016,229074,0,35945954,6430,348736,na,6869074,10094936,92300734,86540662,26752452,11520172,na,0,0,0,na,na,0,0,0,0,0,0,226702,70982714,54257562,0,113492,162064,308564,644948,87839714,36398194,2,0,0,0,20612942,44177946,12703198,10273126,10060564,7821608,5530198,4844798,2782696,6659902,125919114,na,na,na,na,35945954,1261638,7118586,19619564,317160,595700,533420,481340,435160,300380,290180,330460,22780,1371631.54,125919114,125919114,126424790,679749,na,na,59860,125466978,1209600,na,na,na,na,80354438.4,32908795.2,12199011.84,na,na,54030,2882916,21002420,43543382,40928522,15522356,1412078,106848,14180,246,na,na,125919114,na,37924,9568,8523868,10029562,17786438,86445752,2607434,26426,6,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,717162,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,45480292,17066678,11579570,4418522,11696242,29071678,5933448,200088,20460,0,na,na
110502,0,8,8,0,0,0,0,0,0,5030,280548,268428,70162,0,0,8938374,19356,0,0,232322,356606,18167086,16623118,3218072,1625544,0,0,0,0,50,4,0,0,0,0,0,0,0,2080,622088,0,300,144,260,2272,40014,581178,0,0,0,0,458006,68204,28318,17660,12622,9904,9068,8404,7268,4714,21618052,0,0,4,0,8938374,245880,780188,2427598,263640,194020,205680,167020,154000,133760,179440,247900,278460,110502.91,21618052,21618052,21542300,1744,412,95988,1040700,21351930,1209600,15284,0,12,0,7940548.8,9543262.08,3855864.96,2,64,0,0,0,23488,169176,309264,93712,25094,2806,628,0,2,21618052,0,342,44,78384,138724,109138,218078,75882,3568,8,0,4,12,236938,3610,0,0,0,0,253174,558,84,0,0,300,296712,0,0,0,0,116530,2456,460,0,0,17284,3446,18280,2740,0,0,0,0,0,102.1,102,382536,72078,50822,22460,36744,20498,15926,21798,1306,0,0,0
463710,na,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,14452210,33356,0,0,1133300,1792154,22098094,17214068,11835406,5567628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35067832,0,0,0,0,14452210,439684,1910496,9919428,674600,358740,361060,370000,362120,303360,463200,468760,617480,463710.36,35067832,35067832,1226,0,0,94972,1175500,0,1209600,0,1238,1688,0,25073510.4,3037684.8,6278898.24,0,0,0,0,0,0,0,0,0,0,0,0,728,0,35067832,na,0,0,0,0,0,0,0,0,0,0,3884,7630,24339910,10893632,1846,3816,0,0,25505462,0,0,0,0,0,0,0,0,0,0,302466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515386,0,na,na,na,na,16186,530916,2260600,5492920,8393696,10461300,3806918,885154,181168,21030,14818484,42680,862,na,4262312,6402880,29630020,30369590,6808180,2827518,na,0,756,0,na,na,0,0,0,0,0,0,302504,10469990,21222262,55132,262236,111490,146826,277762,17791796,4470306,8615778,373694,0,0,14637038,4119506,3121528,2357204,1684858,1261934,928250,756098,388082,2795390,40701940,na,na,na,na,14818484,352074,1564820,5227898,183800,157100,245760,228940,302720,290320,326860,229360,222340,515386,40701940,40701940,40523238,215471,na,na,748000,40074280,1209600,na,na,na,na,25118376.96,0,14950951.68,3224,5170,1803010,2561900,3544376,3400312,5132672,4640008,3736566,3339460,2836172,1055412,na,na,40701940,0,15458,1712,2988378,4617124,3104428,18963262,2277568,81008,948,2,876,9382,10530290,4525120,478,7318,0,0,10671632,na,na,na,na,na,na,na,na,na,na,247250,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4238,11950964,2061054,1407904,807672,1938102,2323784,8443988,3044048,72326,46,na,na
517566,na,na,na,na,na,0,0,0,0,66192,7975252,40461750,12912438,759642,20478,23111804,234882,278,na,0,0,46201662,38223816,19709456,7673782,na,0,1313210,0,na,na,66298,384076,723006,3650964,8239544,11956932,29111570,7867758,195604,0,852528,738544,898174,987056,3592788,52677270,2449372,16,2,2,29925136,12525556,5245032,4246492,3633044,3136756,2495572,969674,18462,28,65923930,na,na,na,na,23111804,1040084,9077304,10582736,334220,314580,298460,280840,271960,259620,266640,327300,110280,517565.91,65923930,65923930,65989402,298347,na,na,453620,62195752,1209600,na,na,na,na,51424931.52,0,10729936.32,24050,40786,0,0,6182,483788,17917456,36008126,6990518,572274,95116,122292,na,na,65923930,na,68660,13110,6774992,4683746,9886648,34566024,6086988,115566,18,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,561946,na,na,na,na,na,na,na,na,na,na,na,na,na,29470.64,33632,11139932,31020298,10661418,3321906,3956102,1217588,515170,199942,162696,700,na,na
816316,na,56,na,0,0,0,0,0,0,0,0,0,0,0,0,21971642,12922,0,0,2203208,3946600,36482040,31612946,21919394,5914796,0,0,0,0,372,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60609844,1166,1598,880,0,21971642,679768,12459926,9445462,547180,510480,469960,566320,586520,571900,446500,498700,22880,816316.4,60609844,60609844,252,0,11930,65374,64560,0,1209600,0,na,na,na,40681610.88,0,8632452.48,0,0,0,0,0,0,0,0,0,0,0,0,na,0,60609844,na,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,4074,372,0,0,0,0,0,0,0,0,439874,14288,3314,0,0,75396,11080,2766460,329090,0,0,0,0,6316400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437486,0,na,na,0,0,0,96944,981638,2445458,4387124,4934430,1193480,292538,17296,90,11540160,3716,0,na,3997174,5265980,21756332,22841570,5441340,2397378,8,0,0,0,31244,14268,0,0,0,0,0,0,0,3483368,10865630,0,12554,16898,25734,31160,1230546,9670240,1414650,1947216,0,0,5221742,1769416,1238098,1116718,885608,675712,548194,490996,260324,2142190,31194474,9772,14692,11146,0,11540160,337506,1723248,3713394,312620,247260,212780,191520,153620,163260,172860,150260,246520,437486.14,31194474,31194474,14750100,101672,14908,na,939500,14362624,1209600,727278,na,na,na,22895272.32,1826874.24,5648574.72,714,1954,325324,905502,1102454,1428234,2822712,2303926,1903704,1923728,1202566,430848,na,8802,31194474,0,7542,1098,2763072,642524,757806,9753898,412292,10762,4,0,5470,60166,20560668,5244640,218046,20102,0,0,20907018,26604,462,na,na,na,na,na,na,na,na,213910,157224,42472,0,0,891918,187408,397700,198510,0,0,0,0,na,na,2236,3383586,1549146,1088628,576962,1260296,1452080,2642866,2303888,91546,0,0,0
788878,na,na,na,na,na,0,0,0,3990,950718,17967680,27934698,4978328,120814,84,19493364,21108,15488,na,18580,38408,39559674,32019682,13533738,7362074,na,0,0,0,na,na,0,0,0,0,0,357450,22311638,15209352,14077872,0,32884,24494,35814,2429784,40285386,9147896,52,2,0,0,16004204,11948120,3612912,2807138,2396308,2609010,4385116,6948720,1209518,35266,53116064,na,na,na,na,19493364,721384,6658214,6831294,422340,383800,415560,357780,431000,417400,489340,452240,431780,788878,53116064,53116064,53155628,379873,na,na,1019900,51956312,1209600,na,na,na,na,44921192.64,0,7012589.76,na,na,0,0,93476,4886296,23739634,19828964,3051488,299534,54250,2670,na,na,53116064,na,35882,8664,1896720,3410762,7112524,35394790,4000822,96134,14,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,406012,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7355176,9874762,6023836,3388662,6534054,5383914,5730380,3786252,3815898,63378,na,na
927704,na,na,na,na,na,0,0,0,0,873238,16524392,35964774,4559440,28758,0,21766788,10864,0,na,15484,30744,46572842,38171764,14674938,6889692,na,0,0,0,na,na,0,0,0,2,58398,38662018,18023784,897066,309334,0,43216,36878,48194,78570,16292962,41432658,18124,0,0,0,17103016,12892218,4565104,3499338,3039784,3725218,7446742,5512148,166348,686,61273568,na,na,na,na,21766788,636500,7112334,7525924,244000,219520,216920,247240,228000,271120,283240,280320,147140,927703.55,61273568,61273568,60080620,423707,na,na,657220,57950602,1209600,na,na,na,na,52950217.92,0,4962260.16,na,na,0,0,97330,5914258,29881766,19587490,1950092,430130,87880,1656,na,na,61273568,na,61700,13038,3105564,2212294,10549224,39493654,2490496,24632,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,443052,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5216042,10753356,8021834,4459810,9243110,7679480,6136584,3369664,2950320,120402,na,na
420272,na,0,na,0,0,0,0,0,4390,1077204,7730788,14088570,4372008,50394,0,13282638,624,20984,na,22640,31402,24076010,21210656,3844904,2521074,0,0,0,0,0,0,0,0,0,0,0,17944,3053228,19427430,4824752,0,93474,79458,120228,164264,12521398,14321858,22668,6,0,0,10218994,4582468,2440692,1778220,1469570,1445660,1880820,2742978,720828,43124,27946580,2760,2580,1548,738,13282638,353086,2085876,1746690,199980,174680,193620,134840,142460,106780,141140,165300,12840,420271.93,27946580,27946580,27706048,192702,1732978,na,79020,27323354,1209600,0,na,na,na,24441314.88,0,2857917.12,na,na,0,0,154288,3808050,10977924,10265026,1906016,170188,40946,916,na,0,27946580,na,25128,4214,1015884,1050826,1786662,21948860,1454656,37124,0,0,na,na,na,na,na,na,na,na,na,13984,268,0,0,0,0,0,0,0,0,194758,388848,65682,0,0,1192500,164746,37068420,9207118,0,0,0,0,135477840,na,na,2980428,6262908,3797700,1676296,3105944,2400308,2185156,1826890,3045574,42150,0,0
470022,na,na,na,0,0,34,34864,729294,3860248,11802520,15758274,5869372,1403010,286538,14816,17892612,144336,0,na,1396046,2243280,29070618,23073062,10568870,6722350,2,0,37484,0,10916,3352,0,0,0,0,0,0,30454,12441580,27286934,2,180760,101422,140790,272582,17573254,21490160,2,0,0,0,10972050,12069304,4427458,3084442,2267996,1742898,1343020,1892078,1491002,468722,41038662,180,282,1314,2192,17892612,594550,3040394,7511390,410220,479320,407820,345480,327460,279500,273200,306020,330720,470021.17,41038662,41038662,41071564,283269,14158,na,1070300,39758970,1209600,943836,na,na,na,29250025.92,0,10479729.6,3740,11722,93238,1341586,4443502,12440280,13718754,6980686,662912,66588,11276,148,na,5248,41038662,na,24226,4724,4475426,4788204,7054514,23183120,228756,0,0,0,2530,16236,21297828,17078,24,9378,0,0,22185518,37926,2684,na,na,na,na,na,na,na,na,453472,298158,76462,2624791420,17833018,1438846,198198,1071440,361380,32933838,4808,0,0,na,9207.78,10852,10699400,6380564,6131560,2987872,5997906,5151240,2067400,329446,13582,0,0,0
459170,na,0,na,0,0,0,0,0,0,365944,6878976,16446022,4756616,27288,0,13585980,4738,0,na,1728,2118,26696520,24838724,2751716,1284212,0,0,0,0,0,0,0,0,0,0,0,23220,1052836,27271910,126880,0,21962,8262,13848,30280,9583052,18811348,6082,12,0,0,10654966,5066990,2878782,2209964,1910596,1935544,2296184,1368734,148746,4340,29457954,120,548,534,1212,13585980,223528,1245042,1493474,146940,118300,186000,90040,97520,90500,82060,88160,50220,459169.19,29457954,29457954,29058536,185013,2589514,na,332100,28474846,1209600,0,na,na,na,25770877.44,0,2662235.52,na,na,0,0,13886,2181948,12068484,11879294,2121444,177222,31640,928,na,0,29457954,na,32756,6364,1131722,1377334,3473376,19939384,2465016,48892,2,0,na,na,na,na,na,na,na,na,na,26090,984,na,na,na,na,na,na,na,na,136540,320514,60694,0,0,783692,100624,50762460,7356986,0,0,0,0,na,na,na,2819632,5257694,3585190,1706650,3907414,3866320,3317938,1945312,2041704,26992,0,0
298418,na,758,592,0,0,0,16532,185432,2527400,5108956,5448306,2988024,759154,155052,0,6805620,572,0,na,1270424,1726160,13478148,13116564,2918564,1278220,6,0,0,0,2444,1036,0,0,0,0,0,0,0,3345860,13842992,0,9588,3136,5914,12204,725384,16432592,34,0,0,0,3787736,6128524,3677974,1605182,690464,426880,336936,295400,127276,112478,17669800,5632,14404,2188,2,6805620,196040,922992,1989734,241300,193100,189500,192880,186760,216460,225800,182440,289620,298418.42,17669800,17669800,17717040,107796,13986,na,705860,17188846,1209600,374126,0,716,0,14853667.2,0,2326155.84,na,na,50060,1222014,4313306,6581200,4199544,750028,60022,12088,588,0,322,342,17669800,na,12476,2520,1237506,977006,3149382,11778050,31910,0,0,0,676,1662,14770172,6422202,0,14486,0,0,14956166,13290,21112,0,0,0,0,0,0,0,0,114558,54676,15302,0,0,451822,70026,33140,32384,0,0,0,0,36989670,na,na,2418204,1827344,1405826,480178,1176638,2430398,2377636,5006194,66434,0,0,0
56576,na,4650,3190,0,0,0,0,0,0,38270,2669042,3837642,1227588,677056,226380,4396340,213048,142,0,4648,18200,5505962,2932578,3600460,2461906,0,0,2916032,0,14028,3254,0,0,1238696,7258890,4566,9916,6748,61182,95980,0,3072,2442,3018,2988,286096,8378330,6,24,2,0,4907488,600820,284328,273494,353324,763562,1174192,318528,222,20,9111500,148,404,1564,52,4396340,226748,1116476,2469216,604980,549200,571780,519040,425700,313640,269820,na,334960,56576.79,9111500,9111500,9035640,74608,668030,55820,633640,8675978,1209600,200060,30,68,0,6268764.48,0,2399522.88,0,1140,0,0,5578,710346,2450590,4525448,952042,29090,2546,338,3416,7698,9111500,na,4550,1136,1320884,623118,4830798,1892906,2586,0,0,0,3060,8864,309406,1334,0,8538,0,0,3461110,12534,292,0,0,0,0,0,0,0,0,201722,3556,596,0,0,230138,27672,11073760,3183962,1824384,59970,0,0,23729790,1542.74,1878,2436376,3929624,2265588,16206,26870,768,282,250,14,0,0,0
733868,0,0,140,0,0,0,0,45630,1400206,7877016,9038940,3360968,391692,26780,536,21973330,0,178,na,1941516,2872770,37327614,33949308,10195070,3422490,0,0,0,0,0,0,0,0,0,0,0,0,0,978076,21163692,0,98346,52846,87954,160020,456406,19614312,1014222,657662,0,0,5528020,8654494,4218382,1088244,688666,673696,635746,471068,166108,17344,49480846,0,0,0,0,21973330,662900,4125180,6044794,270840,219680,316280,272560,232500,228000,260660,205800,224480,733868.54,49480846,49480846,48224198,110893,0,na,953360,45254378,1209600,0,0,270,0,39487005.12,0,5710580.16,1124,9794,8930,131346,1062486,2657516,6654376,5460096,3843754,2058664,240936,23664,106,0,49480846,0,53294,9514,1096640,1698378,623604,15558534,2976136,125404,264,0,132,520,13222030,7981250,0,13110,0,0,13517686,0,0,0,0,0,0,0,0,0,0,401262,0,0,0,0,0,0,0,0,0,0,0,0,0,16839.34,16064,2855222,3770490,1509130,488168,923370,5018730,7307740,262902,6016,0,0,0
137940,na,264,148,0,0,0,1752,149486,1534166,6054946,3057198,407618,14860,0,0,4258526,0,0,0,560516,772298,8757792,8226942,2071160,930442,0,0,0,0,2750,708,0,0,0,0,0,0,0,3645742,7560784,13500,27010,18368,33566,64180,498432,10578458,12,0,0,0,3921996,2751730,1410662,959324,585644,367766,279082,390992,500818,52012,11390888,82,5770,14942,2,4258526,124764,507368,1560380,265220,203940,240540,216120,198320,178900,191700,222260,119080,137940.43,11390888,11390888,11528768,69691,18,41362,490340,11220026,1209600,231442,0,872,0,7297436.16,0,3912079.68,632,1928,8928,504950,2781426,6183582,1567332,151764,17890,3898,256,0,194,212,11390888,na,8222,940,1473530,2332922,3082596,4313034,8782,0,0,0,314,1288,7278192,2579280,0,98,0,0,7397176,11386,3050,0,0,0,0,0,0,0,0,67414,41606,13212,17828546,2384112,151252,51438,43000,6616,11238932,42270,0,0,12447030,2035.34,2592,3967444,1095760,841534,372982,887390,1402466,1758060,874390,20000,0,0,0
64952,0,1272,902,0,0,0,3268,186684,1832492,4689994,6562292,5918500,3194194,1294314,174326,9038904,570090,352,598,727224,2153638,16536102,14725854,7029712,2206220,28,0,825924,6132,6730,1154,0,0,0,0,0,0,0,4934028,18922016,20,30966,14446,25662,44406,100876,17981310,1901444,3756508,446,0,14347474,7998388,692340,307482,177066,123512,82740,55190,30674,41198,24294324,736,2026,5806,166,9038904,188356,518322,6503802,972300,875360,805260,751440,702640,688860,527520,247180,67020,64952.57,24294324,24294324,24159300,54948,5966,115730,82660,23881670,1209600,223356,208,218,0,4485957.12,11555038.08,7818706.56,518,1622,66280,698480,2307360,3736334,6407948,6036162,3018758,1227964,316814,39964,368,470,24294324,0,16362,1804,1903286,10628166,4759072,4550386,1931594,64492,900,2,1704,2100,4325726,813304,216,594,0,0,4582424,15268,758,0,0,23480,11569642,0,0,0,0,165902,19854,5312,0,0,219136,34052,42880,18112,0,0,0,0,7271710,5781.4,5538,19479258,1599656,621934,222504,475288,553688,420948,470258,12530,0,0,0
967376,na,8660,8660,0,0,0,0,0,18,513280,12302736,41147692,17468024,1524060,88908,40087946,64110,114,0,1204,2404,57331360,43625594,18552110,12356964,0,0,184146,0,39544,4714,0,0,0,0,0,1969528,26127882,34746202,10201106,0,139416,116422,322908,32531744,37435044,2499170,10,4,0,0,17626170,15721472,4642490,4638524,4742436,4399460,4655052,7941122,6854540,1823452,75895424,2580,5184,6038,1232,40087946,1782836,8146028,10348022,343580,388800,332700,338940,378920,296920,213360,291700,133020,967375.14,75895424,75895424,74906530,556597,3067094,105448,764300,73044718,1209600,2188060,50800,4540,0,61258018.56,0,11711916.48,0,0,0,0,24056,2214320,18823486,37549892,13163786,1056916,187808,24454,7748,7918,75895424,na,56870,15478,4095834,11675344,38743282,17235566,1211596,10748,0,0,10288,31772,34544008,1284838,13482,1965144,0,0,55746434,48682,1840,0,0,0,0,0,0,0,0,1368804,837546,147966,0,0,1997840,378934,70659380,13469612,38991974,228384,0,0,614367880,31795.44,25226,12113090,16364632,11377600,5432058,11165988,8940384,4927202,1868356,855366,42,0,0
859228,0,604,na,0,0,0,1152,268268,3204466,8535296,6137616,2345718,264748,20370,18,23629576,7700,0,0,4052592,5990904,43873760,39575362,16098440,6796052,2,0,0,0,5102,1590,0,0,0,0,0,0,0,3591506,17186146,0,86896,55492,74282,86546,124552,13617244,3501258,3195038,36344,0,8446910,3464216,2195474,1516086,1057240,768126,567356,461898,267164,2033182,64035448,7290,13990,3346,0,23629576,744458,5330926,10750460,434740,243960,275120,284100,327260,346020,372060,379940,418300,859228.69,64035448,64035448,63107356,121241,35328,12318,1036580,60877358,1209600,0,na,na,na,46251143.04,0,14559562.56,4492,8912,89500,399156,2398446,3380692,5793014,4720414,2926676,827170,199240,43344,na,0,64035448,0,33760,4362,1395502,3191982,1079270,12691358,2301758,79350,310,0,na,na,na,na,na,na,na,na,na,11782,524,0,0,0,0,0,0,0,0,518410,51462,13522,0,0,346762,49132,31311040,3459936,0,0,0,0,19889640,9893.08,9602,4743344,2768138,1317226,640108,1560522,6903298,2187952,631714,25340,10,0,0
1047110,na,5608,1858,0,0,0,0,0,1213944,9201056,13372032,4445804,587066,27592,0,32110886,3908,0,0,2930832,4562556,51220720,44397340,21242694,7624462,0,0,0,0,15768,5080,0,0,0,0,0,0,1143828,26954994,748668,0,138652,72654,81004,73284,4298794,24183096,6,0,0,0,9952524,8255662,2307474,1824164,1409964,1129720,1016324,1282402,1074976,594280,75408538,3030,30394,140842,1656,32110886,1129830,9020640,12200068,355380,351740,337180,282620,325220,322460,365700,351320,57920,1047110.1,75408538,75408538,31184922,136989,11562,38860,286620,28847510,1209600,1802364,1098,516,0,53685169.92,0,13822125.12,5368,11438,0,102464,4674398,12377066,8198964,2935396,473682,77212,8156,152,1352,3660,75408538,na,27780,6850,2331636,3586428,3447138,19138358,308002,1298,0,0,3962,1210,22790404,6978754,0,276,0,0,23723118,203390,5374,0,0,0,0,0,0,0,0,689346,366340,118544,82196268,14022448,1903924,539736,90320,93710,69264418,39330,0,0,33781020,14503.98,12916,6093502,3428036,2329436,1014358,1817662,2116664,5138200,6671862,237756,16,0,0
119532,na,0,na,0,0,0,0,0,7202,283928,1244966,4477676,2187352,47230,0,3924410,0,0,0,5396,6900,8016602,7359084,1312236,512650,0,0,0,0,0,0,0,0,0,0,0,69724,2199784,3598402,2380444,0,19884,33030,46280,54508,3114524,4978658,1466,4,0,0,3555222,1193574,598134,429504,354446,374864,993842,739304,9464,0,9335702,2858,4566,938,84,3924410,101280,732636,577644,197160,184360,149680,171180,169320,171420,152220,1310700,101740,119532.49,9335702,9335702,9257122,54012,908654,77464,847500,8248354,1209600,0,na,na,na,6748746.24,0,1491944.64,na,na,0,50,71672,785156,3089874,3824280,438808,32404,6076,34,na,0,9335702,na,6802,1498,303282,463004,557186,5929056,976972,10544,10,0,na,na,na,na,na,na,na,na,na,5014,72,0,0,0,0,0,0,0,0,54010,133674,25384,0,0,257546,57900,11561560,1734252,0,0,0,0,13275850,na,na,1542638,1563862,936260,444398,821136,760644,741850,561396,805950,70220,0,0
254156,0,1596,na,0,0,0,0,178320,1794246,7164838,7323704,1547966,126078,5442,0,7552338,0,0,0,846206,1274534,14791072,13537590,4966466,1551986,6,0,0,0,4750,736,0,0,0,0,0,0,0,7715852,10407728,17014,68448,41712,41564,43592,285166,15655974,982648,1021490,0,0,7105916,3025528,2201464,1422558,941886,652796,504166,421714,240132,1624434,20610174,5628,11758,14988,0,7552338,224490,2616520,2341946,302480,252200,259100,253420,289240,355920,233220,240320,306260,254155.17,20610174,20610174,20253668,104563,614782,86868,1203500,18155430,1209600,0,na,na,na,14525041.92,0,3600866.88,1970,6550,29758,216794,1158368,2194728,3924932,2856308,1921584,1708132,2276738,1853252,na,0,20610174,0,40342,5214,1754066,1613178,1300618,8497654,4822606,105910,1006,0,na,na,na,na,na,na,na,na,na,26118,2564,0,0,0,0,0,0,0,0,138608,108474,26724,0,0,743058,98928,22144860,3884760,0,0,0,0,69880870,11862.46,12350,3751746,2996598,1920812,825022,2134934,2673546,3097154,725704,15078,0,0,0
